Environment,Algorithm,Run,Total_Revenue,Rounds_Completed,Final_Budget
Stochastic Multi,Combinatorial UCB,1,1958.00,329,0.0
Stochastic Multi,Combinatorial UCB,2,1891.00,891,0.0
Stochastic Multi,Combinatorial UCB,3,2005.00,340,0.0
Stochastic Multi,Primal-Dual Multi,1,2478.00,1000,70.0
Stochastic Multi,Primal-Dual Multi,2,2612.00,1000,52.0
Stochastic Multi,Primal-Dual Multi,3,2015.00,1000,142.0
Non-Stationary Multi,Combinatorial UCB,1,1827.00,951,-2.0
Non-Stationary Multi,Combinatorial UCB,2,1804.00,995,0.0
Non-Stationary Multi,Combinatorial UCB,3,1829.00,923,-1.0
Non-Stationary Multi,Primal-Dual Multi,1,2818.00,474,-1.0
Non-Stationary Multi,Primal-Dual Multi,2,2659.00,456,0.0
Non-Stationary Multi,Primal-Dual Multi,3,2691.00,450,0.0
