Environment,Algorithm,Run,Total_Revenue,Rounds_Completed,Final_Budget
Stochastic Multi,Combinatorial UCB,1,nan,634,0
Stochastic Multi,Combinatorial UCB,2,nan,849,0
Stochastic Multi,Combinatorial UCB,3,nan,568,0
Stochastic Multi,Combinatorial UCB,4,nan,349,0
Stochastic Multi,Combinatorial UCB,5,nan,950,0
Stochastic Multi,Combinatorial UCB,6,nan,744,0
Stochastic Multi,Combinatorial UCB,7,nan,604,0
Stochastic Multi,Combinatorial UCB,8,nan,890,0
Stochastic Multi,Combinatorial UCB,9,nan,925,0
Stochastic Multi,Combinatorial UCB,10,nan,342,0
Stochastic Multi,Primal-Dual Multi,1,1927.00,1000,170
Stochastic Multi,Primal-Dual Multi,2,2120.00,1000,127
Stochastic Multi,Primal-Dual Multi,3,2330.00,1000,101
Stochastic Multi,Primal-Dual Multi,4,2121.00,1000,127
Stochastic Multi,Primal-Dual Multi,5,2513.00,1000,69
Stochastic Multi,Primal-Dual Multi,6,2297.00,1000,103
Stochastic Multi,Primal-Dual Multi,7,2968.00,1000,3
Stochastic Multi,Primal-Dual Multi,8,2576.00,1000,60
Stochastic Multi,Primal-Dual Multi,9,2002.00,1000,148
Stochastic Multi,Primal-Dual Multi,10,2128.00,1000,128
Non-Stationary Multi,Combinatorial UCB,1,nan,335,0
Non-Stationary Multi,Combinatorial UCB,2,nan,991,0
Non-Stationary Multi,Combinatorial UCB,3,nan,411,0
Non-Stationary Multi,Combinatorial UCB,4,nan,852,0
Non-Stationary Multi,Combinatorial UCB,5,nan,733,0
Non-Stationary Multi,Combinatorial UCB,6,nan,440,0
Non-Stationary Multi,Combinatorial UCB,7,nan,356,0
Non-Stationary Multi,Combinatorial UCB,8,nan,980,0
Non-Stationary Multi,Combinatorial UCB,9,nan,452,0
Non-Stationary Multi,Combinatorial UCB,10,nan,341,0
Non-Stationary Multi,Primal-Dual Multi,1,3195.00,772,0
Non-Stationary Multi,Primal-Dual Multi,2,1237.00,1000,242
Non-Stationary Multi,Primal-Dual Multi,3,2287.00,1000,152
Non-Stationary Multi,Primal-Dual Multi,4,3184.00,531,0
Non-Stationary Multi,Primal-Dual Multi,5,2034.00,1000,150
Non-Stationary Multi,Primal-Dual Multi,6,1967.00,1000,154
Non-Stationary Multi,Primal-Dual Multi,7,3167.00,801,0
Non-Stationary Multi,Primal-Dual Multi,8,2687.00,974,0
Non-Stationary Multi,Primal-Dual Multi,9,1940.00,1000,161
Non-Stationary Multi,Primal-Dual Multi,10,2954.00,1000,13
