Environment,Algorithm,Avg_Revenue,Std_Revenue,Avg_Regret,Avg_Rounds,Avg_Budget_Used
Stochastic,UCB with Inventory,2073.67,21.82,0.00,981.7,0.0
Stochastic,Primal-Dual,1968.33,12.12,0.00,825.7,44.7
Non-Stationary,UCB with Inventory,2086.00,20.85,0.00,990.0,0.0
Non-Stationary,Primal-Dual,1309.67,219.68,0.00,671.0,0.0
