Environment,Algorithm,Run,Total_Revenue,Rounds_Completed,Final_Budget
Stochastic,UCB with Inventory,1,2092.00,1000,0.0
Stochastic,UCB with Inventory,2,2043.00,947,0.0
Stochastic,UCB with Inventory,3,2086.00,998,0.0
Stochastic,Primal-Dual,1,1972.00,765,0.0
Stochastic,Primal-Dual,2,1952.00,1000,134.0
Stochastic,Primal-Dual,3,1981.00,712,0.0
Non-Stationary,UCB with Inventory,1,1565.00,956,0.0
Non-Stationary,UCB with Inventory,2,2674.00,1000,0.0
Non-Stationary,UCB with Inventory,3,2132.00,858,0.0
Non-Stationary,Primal-Dual,1,2251.00,681,0.0
Non-Stationary,Primal-Dual,2,486.00,1000,349.0
Non-Stationary,Primal-Dual,3,1309.00,1000,220.0
