Environment,Algorithm,Avg_Revenue,Std_Revenue,Avg_Regret,Avg_Rounds,Avg_Budget_Used
Stochastic,UCB with Inventory,2073.67,21.82,0.00,981.7,0.0
Stochastic,Primal-Dual,1968.33,12.12,0.00,825.7,44.7
Non-Stationary,UCB with Inventory,2123.67,452.79,0.00,938.0,0.0
Non-Stationary,Primal-Dual,1348.67,721.10,0.00,893.7,189.7
