Environment,Algorithm,Avg_Revenue,Std_Revenue,Avg_Regret,Avg_Rounds,Avg_Budget_Used
Slightly Non-Stationary,Combinatorial UCB (Sliding Window),1652.20,38.75,0.00,347.5,-0.3
Slightly Non-Stationary,Primal-Dual Multi,3022.30,149.86,0.00,855.2,-0.6
