Environment,Algorithm,Run,Total_Revenue,Rounds_Completed,Final_Budget
Slightly Non-Stationary,Combinatorial UCB (Sliding Window),1,nan,289,0
Slightly Non-Stationary,Combinatorial UCB (Sliding Window),2,nan,283,0
Slightly Non-Stationary,Combinatorial UCB (Sliding Window),3,nan,293,0
Slightly Non-Stationary,Combinatorial UCB (Sliding Window),4,nan,305,-1
Slightly Non-Stationary,Combinatorial UCB (Sliding Window),5,nan,304,0
Slightly Non-Stationary,Combinatorial UCB (Sliding Window),6,nan,299,-1
Slightly Non-Stationary,Combinatorial UCB (Sliding Window),7,nan,305,-1
Slightly Non-Stationary,Combinatorial UCB (Sliding Window),8,nan,292,0
Slightly Non-Stationary,Combinatorial UCB (Sliding Window),9,nan,303,-1
Slightly Non-Stationary,Combinatorial UCB (Sliding Window),10,nan,287,0
Slightly Non-Stationary,Primal-Dual Multi,1,3233.00,1000,8
Slightly Non-Stationary,Primal-Dual Multi,2,3211.00,769,0
Slightly Non-Stationary,Primal-Dual Multi,3,3179.00,766,0
Slightly Non-Stationary,Primal-Dual Multi,4,3209.00,868,0
Slightly Non-Stationary,Primal-Dual Multi,5,3123.00,732,0
Slightly Non-Stationary,Primal-Dual Multi,6,3109.00,695,0
Slightly Non-Stationary,Primal-Dual Multi,7,3338.00,777,0
Slightly Non-Stationary,Primal-Dual Multi,8,3238.00,735,0
Slightly Non-Stationary,Primal-Dual Multi,9,3198.00,816,0
Slightly Non-Stationary,Primal-Dual Multi,10,3252.00,745,0
