Environment,Algorithm,Avg_Revenue,Std_Revenue,Avg_Regret,Avg_Rounds,Avg_Budget_Used
Slightly Non-Stationary,Combinatorial UCB (Sliding Window),2063.33,120.14,0.00,317.3,0.0
Slightly Non-Stationary,Primal-Dual Multi,3116.67,88.92,0.00,814.3,-0.3
