Environment,Algorithm,Avg_Revenue,Std_Revenue,Avg_Regret,Avg_Rounds,Avg_Budget_Used
Stochastic Single Product,UCB1 (No Constraint),1891.70,118.05,0.00,721.2,0.0
Stochastic Single Product,UCB with Inventory,2046.50,16.35,0.00,969.8,0.0
