requirement,environment,algorithm,run_number,total_revenue,rounds_completed,final_budget,budget_used,avg_revenue_per_round,timestamp
requirement_5,Slightly Non-Stationary,Combinatorial UCB (Sliding Window),1,2003.0,295,0.0,500.0,6.7898305084745765,20250628_183350
requirement_5,Slightly Non-Stationary,Combinatorial UCB (Sliding Window),2,1991.0,297,0.0,500.0,6.703703703703703,20250628_183350
requirement_5,Slightly Non-Stationary,Combinatorial UCB (Sliding Window),3,2083.0,299,0.0,500.0,6.966555183946488,20250628_183350
requirement_5,Slightly Non-Stationary,Combinatorial UCB (Sliding Window),4,2032.0,300,0.0,500.0,6.773333333333333,20250628_183350
requirement_5,Slightly Non-Stationary,Combinatorial UCB (Sliding Window),5,1904.0,292,0.0,500.0,6.52054794520548,20250628_183350
requirement_5,Slightly Non-Stationary,Combinatorial UCB (Sliding Window),6,2043.0,298,0.0,500.0,6.855704697986577,20250628_183350
requirement_5,Slightly Non-Stationary,Combinatorial UCB (Sliding Window),7,2005.0,285,0.0,500.0,7.035087719298246,20250628_183350
requirement_5,Slightly Non-Stationary,Combinatorial UCB (Sliding Window),8,2143.0,322,-1.0,501.0,6.65527950310559,20250628_183350
requirement_5,Slightly Non-Stationary,Combinatorial UCB (Sliding Window),9,2025.0,304,0.0,500.0,6.661184210526316,20250628_183350
requirement_5,Slightly Non-Stationary,Combinatorial UCB (Sliding Window),10,2169.0,300,-1.0,501.0,7.23,20250628_183350
requirement_5,Slightly Non-Stationary,Primal-Dual Multi,1,3206.0,977,0.0,500.0,3.2814738996929376,20250628_183350
requirement_5,Slightly Non-Stationary,Primal-Dual Multi,2,2940.0,1000,54.0,446.0,2.94,20250628_183350
requirement_5,Slightly Non-Stationary,Primal-Dual Multi,3,2348.0,1000,153.0,347.0,2.348,20250628_183350
requirement_5,Slightly Non-Stationary,Primal-Dual Multi,4,2454.0,1000,130.0,370.0,2.454,20250628_183350
requirement_5,Slightly Non-Stationary,Primal-Dual Multi,5,2677.0,1000,92.0,408.0,2.677,20250628_183350
requirement_5,Slightly Non-Stationary,Primal-Dual Multi,6,2677.0,1000,85.0,415.0,2.677,20250628_183350
requirement_5,Slightly Non-Stationary,Primal-Dual Multi,7,2556.0,1000,110.0,390.0,2.556,20250628_183350
requirement_5,Slightly Non-Stationary,Primal-Dual Multi,8,2539.0,1000,109.0,391.0,2.539,20250628_183350
requirement_5,Slightly Non-Stationary,Primal-Dual Multi,9,2866.0,1000,62.0,438.0,2.866,20250628_183350
requirement_5,Slightly Non-Stationary,Primal-Dual Multi,10,2527.0,1000,114.0,386.0,2.527,20250628_183350
