requirement,environment,algorithm,run_number,total_revenue,rounds_completed,final_budget,budget_used,avg_revenue_per_round,timestamp
requirement_3,Stochastic,UCB with Inventory,1,2067.0,962,0.0,500.0,2.1486486486486487,20250628_183321
requirement_3,Stochastic,UCB with Inventory,2,2040.0,967,0.0,500.0,2.109617373319545,20250628_183321
requirement_3,Stochastic,UCB with Inventory,3,2059.0,981,0.0,500.0,2.0988786952089704,20250628_183321
requirement_3,Stochastic,UCB with Inventory,4,2019.0,993,0.0,500.0,2.0332326283987916,20250628_183321
requirement_3,Stochastic,UCB with Inventory,5,2050.0,979,0.0,500.0,2.093973442288049,20250628_183321
requirement_3,Stochastic,UCB with Inventory,6,2015.0,1000,0.0,500.0,2.015,20250628_183321
requirement_3,Stochastic,UCB with Inventory,7,2005.0,967,0.0,500.0,2.0734229576008274,20250628_183321
requirement_3,Stochastic,UCB with Inventory,8,2056.0,977,0.0,500.0,2.104401228249744,20250628_183321
requirement_3,Stochastic,UCB with Inventory,9,2071.0,957,0.0,500.0,2.1640543364681295,20250628_183321
requirement_3,Stochastic,UCB with Inventory,10,2050.0,993,0.0,500.0,2.0644511581067473,20250628_183321
requirement_3,Stochastic,Primal-Dual,1,1583.0,790,0.0,500.0,2.0037974683544304,20250628_183321
requirement_3,Stochastic,Primal-Dual,2,2318.0,1000,15.0,485.0,2.318,20250628_183321
requirement_3,Stochastic,Primal-Dual,3,1972.0,1000,147.0,353.0,1.972,20250628_183321
requirement_3,Stochastic,Primal-Dual,4,1960.0,772,0.0,500.0,2.538860103626943,20250628_183321
requirement_3,Stochastic,Primal-Dual,5,1974.0,737,0.0,500.0,2.67842605156038,20250628_183321
requirement_3,Stochastic,Primal-Dual,6,2411.0,971,0.0,500.0,2.483007209062822,20250628_183321
requirement_3,Stochastic,Primal-Dual,7,1861.0,1000,158.0,342.0,1.861,20250628_183321
requirement_3,Stochastic,Primal-Dual,8,2000.0,730,0.0,500.0,2.73972602739726,20250628_183321
requirement_3,Stochastic,Primal-Dual,9,1546.0,632,0.0,500.0,2.4462025316455698,20250628_183321
requirement_3,Stochastic,Primal-Dual,10,1523.0,646,0.0,500.0,2.3575851393188856,20250628_183321
requirement_3,Non-Stationary,UCB with Inventory,1,2082.0,993,0.0,500.0,2.096676737160121,20250628_183321
requirement_3,Non-Stationary,UCB with Inventory,2,2101.0,1000,0.0,500.0,2.101,20250628_183321
requirement_3,Non-Stationary,UCB with Inventory,3,2096.0,994,0.0,500.0,2.108651911468813,20250628_183321
requirement_3,Non-Stationary,UCB with Inventory,4,2101.0,1000,0.0,500.0,2.101,20250628_183321
requirement_3,Non-Stationary,UCB with Inventory,5,2052.0,978,0.0,500.0,2.098159509202454,20250628_183321
requirement_3,Non-Stationary,UCB with Inventory,6,2119.0,999,0.0,500.0,2.121121121121121,20250628_183321
requirement_3,Non-Stationary,UCB with Inventory,7,2088.0,1000,0.0,500.0,2.088,20250628_183321
requirement_3,Non-Stationary,UCB with Inventory,8,2084.0,999,0.0,500.0,2.086086086086086,20250628_183321
requirement_3,Non-Stationary,UCB with Inventory,9,2113.0,999,0.0,500.0,2.115115115115115,20250628_183321
requirement_3,Non-Stationary,UCB with Inventory,10,2057.0,982,0.0,500.0,2.094704684317719,20250628_183321
requirement_3,Non-Stationary,Primal-Dual,1,1006.0,633,0.0,500.0,1.589257503949447,20250628_183321
requirement_3,Non-Stationary,Primal-Dual,2,1847.0,729,0.0,500.0,2.53360768175583,20250628_183321
requirement_3,Non-Stationary,Primal-Dual,3,1000.0,629,0.0,500.0,1.589825119236884,20250628_183321
requirement_3,Non-Stationary,Primal-Dual,4,1431.0,676,0.0,500.0,2.116863905325444,20250628_183321
requirement_3,Non-Stationary,Primal-Dual,5,1049.0,641,0.0,500.0,1.6365054602184088,20250628_183321
requirement_3,Non-Stationary,Primal-Dual,6,982.0,629,0.0,500.0,1.56120826709062,20250628_183321
requirement_3,Non-Stationary,Primal-Dual,7,1018.0,623,0.0,500.0,1.6340288924558588,20250628_183321
requirement_3,Non-Stationary,Primal-Dual,8,1014.0,655,0.0,500.0,1.548091603053435,20250628_183321
requirement_3,Non-Stationary,Primal-Dual,9,1114.0,690,0.0,500.0,1.6144927536231883,20250628_183321
requirement_3,Non-Stationary,Primal-Dual,10,997.0,618,0.0,500.0,1.6132686084142396,20250628_183321
