requirement,environment,algorithm,run_number,total_revenue,rounds_completed,final_budget,budget_used,avg_revenue_per_round,timestamp
requirement_4,Stochastic Multi,Combinatorial UCB,1,2335.0,676,0.0,500.0,3.4541420118343193,20250628_183335
requirement_4,Stochastic Multi,Combinatorial UCB,2,2391.0,647,0.0,500.0,3.6955177743431222,20250628_183335
requirement_4,Stochastic Multi,Combinatorial UCB,3,2394.0,683,0.0,500.0,3.505124450951684,20250628_183335
requirement_4,Stochastic Multi,Combinatorial UCB,4,2378.0,673,0.0,500.0,3.5334323922734026,20250628_183335
requirement_4,Stochastic Multi,Combinatorial UCB,5,2386.0,700,0.0,500.0,3.4085714285714284,20250628_183335
requirement_4,Stochastic Multi,Combinatorial UCB,6,2364.0,657,0.0,500.0,3.598173515981735,20250628_183335
requirement_4,Stochastic Multi,Combinatorial UCB,7,2349.0,660,0.0,500.0,3.559090909090909,20250628_183335
requirement_4,Stochastic Multi,Combinatorial UCB,8,2313.0,523,0.0,500.0,4.422562141491396,20250628_183335
requirement_4,Stochastic Multi,Combinatorial UCB,9,2368.0,697,0.0,500.0,3.3974175035868006,20250628_183335
requirement_4,Stochastic Multi,Combinatorial UCB,10,2364.0,637,0.0,500.0,3.7111459968602825,20250628_183335
requirement_4,Stochastic Multi,Primal-Dual Multi,1,2083.0,1000,140.0,360.0,2.083,20250628_183335
requirement_4,Stochastic Multi,Primal-Dual Multi,2,2526.0,1000,66.0,434.0,2.526,20250628_183335
requirement_4,Stochastic Multi,Primal-Dual Multi,3,2974.0,1000,15.0,485.0,2.974,20250628_183335
requirement_4,Stochastic Multi,Primal-Dual Multi,4,2666.0,1000,60.0,440.0,2.666,20250628_183335
requirement_4,Stochastic Multi,Primal-Dual Multi,5,2344.0,1000,87.0,413.0,2.344,20250628_183335
requirement_4,Stochastic Multi,Primal-Dual Multi,6,2880.0,1000,22.0,478.0,2.88,20250628_183335
requirement_4,Stochastic Multi,Primal-Dual Multi,7,2872.0,1000,26.0,474.0,2.872,20250628_183335
requirement_4,Stochastic Multi,Primal-Dual Multi,8,2620.0,1000,71.0,429.0,2.62,20250628_183335
requirement_4,Stochastic Multi,Primal-Dual Multi,9,2541.0,1000,69.0,431.0,2.541,20250628_183335
requirement_4,Stochastic Multi,Primal-Dual Multi,10,2531.0,1000,69.0,431.0,2.531,20250628_183335
requirement_4,Non-Stationary Multi,Combinatorial UCB,1,2330.0,386,0.0,500.0,6.036269430051814,20250628_183335
requirement_4,Non-Stationary Multi,Combinatorial UCB,2,2312.0,377,0.0,500.0,6.13262599469496,20250628_183335
requirement_4,Non-Stationary Multi,Combinatorial UCB,3,2260.0,362,0.0,500.0,6.2430939226519335,20250628_183335
requirement_4,Non-Stationary Multi,Combinatorial UCB,4,2269.0,368,-1.0,501.0,6.165760869565218,20250628_183335
requirement_4,Non-Stationary Multi,Combinatorial UCB,5,2267.0,359,0.0,500.0,6.314763231197771,20250628_183335
requirement_4,Non-Stationary Multi,Combinatorial UCB,6,2366.0,403,0.0,500.0,5.870967741935484,20250628_183335
requirement_4,Non-Stationary Multi,Combinatorial UCB,7,2259.0,360,0.0,500.0,6.275,20250628_183335
requirement_4,Non-Stationary Multi,Combinatorial UCB,8,2232.0,360,0.0,500.0,6.2,20250628_183335
requirement_4,Non-Stationary Multi,Combinatorial UCB,9,2280.0,390,0.0,500.0,5.846153846153846,20250628_183335
requirement_4,Non-Stationary Multi,Combinatorial UCB,10,2326.0,384,0.0,500.0,6.057291666666667,20250628_183335
requirement_4,Non-Stationary Multi,Primal-Dual Multi,1,2599.0,440,0.0,500.0,5.906818181818182,20250628_183335
requirement_4,Non-Stationary Multi,Primal-Dual Multi,2,2564.0,427,-1.0,501.0,6.004683840749414,20250628_183335
requirement_4,Non-Stationary Multi,Primal-Dual Multi,3,2663.0,458,-1.0,501.0,5.814410480349345,20250628_183335
requirement_4,Non-Stationary Multi,Primal-Dual Multi,4,2695.0,466,0.0,500.0,5.783261802575107,20250628_183335
requirement_4,Non-Stationary Multi,Primal-Dual Multi,5,2734.0,472,0.0,500.0,5.7923728813559325,20250628_183335
requirement_4,Non-Stationary Multi,Primal-Dual Multi,6,2786.0,458,0.0,500.0,6.08296943231441,20250628_183335
requirement_4,Non-Stationary Multi,Primal-Dual Multi,7,2670.0,442,0.0,500.0,6.040723981900452,20250628_183335
requirement_4,Non-Stationary Multi,Primal-Dual Multi,8,2738.0,476,-1.0,501.0,5.7521008403361344,20250628_183335
requirement_4,Non-Stationary Multi,Primal-Dual Multi,9,2675.0,450,0.0,500.0,5.944444444444445,20250628_183335
requirement_4,Non-Stationary Multi,Primal-Dual Multi,10,2621.0,439,0.0,500.0,5.970387243735763,20250628_183335
